model	arm	source_kind	lane	slot	attempt	run_dir
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T091952_gpt-5.6-terra_35b96f4f
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T092013_gpt-5.6-terra_536fc42e
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T093356_gpt-5.6-terra_7bd02599
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T094855_gpt-5.6-terra_6e9a46ca
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T094913_gpt-5.6-terra_7f118d15
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T100311_gpt-5.6-terra_6d5fda4b
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T101732_gpt-5.6-terra_a1a66116
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T101748_gpt-5.6-terra_e2b0590b
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T101856_gpt-5.6-terra_746bed10
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T102005_gpt-5.6-terra_39743e0a
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T132826_gpt-5.6-terra_a435ce93
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T132843_gpt-5.6-terra_b58bb799
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133027_gpt-5.6-terra_e9044498
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133223_gpt-5.6-terra_c131ac77
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133239_gpt-5.6-terra_42de6dc3
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133255_gpt-5.6-terra_fdf7f931
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133314_gpt-5.6-terra_7f3e3e49
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133331_gpt-5.6-terra_d54f3b06
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133352_gpt-5.6-terra_8b4effd5
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133700_gpt-5.6-terra_cd0e6cd1
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133715_gpt-5.6-terra_fc7dd2dd
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133732_gpt-5.6-terra_6c7e4a2f
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133749_gpt-5.6-terra_899099bb
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133814_gpt-5.6-terra_a57e15e0
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T133834_gpt-5.6-terra_f67070f5
terra	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T134037_gpt-5.6-terra_a7f7d1d7
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T085708_gpt-5.6-sol_abf97165
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T091117_gpt-5.6-sol_09e4ba22
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T092714_gpt-5.6-sol_d63da36b
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T094219_gpt-5.6-sol_77de886d
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T095630_gpt-5.6-sol_7fad7c14
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T101005_gpt-5.6-sol_2c3691e8
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T124005_gpt-5.6-sol_8babee23
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T124229_gpt-5.6-sol_b0138564
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T124445_gpt-5.6-sol_4f8564d2
sol	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T124723_gpt-5.6-sol_875c4227
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T085931_gpt-5.6-sol_b061c0cf
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T091343_gpt-5.6-sol_e9a3f512
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T092940_gpt-5.6-sol_8692bfc4
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T094426_gpt-5.6-sol_af6c39f5
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T095904_gpt-5.6-sol_ef65ce20
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T101240_gpt-5.6-sol_991b3a84
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T124945_gpt-5.6-sol_203fd126
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T125142_gpt-5.6-sol_30762bd9
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T125408_gpt-5.6-sol_193106f3
sol	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T125634_gpt-5.6-sol_4528e7db
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T203631_lilac_gemma-4-31b-it_092aff24
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T203844_lilac_gemma-4-31b-it_efe7dda2
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T204051_lilac_gemma-4-31b-it_3e0233b4
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T204241_lilac_gemma-4-31b-it_b880d213
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T204433_lilac_gemma-4-31b-it_6026bf9d
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T204616_lilac_gemma-4-31b-it_391172c2
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T204751_lilac_gemma-4-31b-it_9c3177b5
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T204932_lilac_gemma-4-31b-it_9f95f1e5
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T205116_lilac_gemma-4-31b-it_16a0a20c
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260615T205319_lilac_gemma-4-31b-it_9d464af0
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T032503_lilac_gemma-4-31b-it_7379f65b
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T033623_lilac_gemma-4-31b-it_17f51340
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T034709_lilac_gemma-4-31b-it_4355ae1c
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T035838_lilac_gemma-4-31b-it_e2613ec9
