model	arm	source_kind	lane	slot	attempt	run_dir
gpt55	dots96	topup	openai-a	openai-a-072	1	runs/aiwf_medium_context/20260721T033944_gpt-5.5_4c267e43
gpt54	dots96	topup	openai-a	openai-a-073	1	runs/aiwf_medium_context/20260721T034210_gpt-5.4_da25387c
gpt55	nofiller	topup	openai-a	openai-a-074	1	runs/aiwf_medium_context/20260721T034743_gpt-5.5_ccee9912
gpt54	nofiller	topup	openai-a	openai-a-075	1	runs/aiwf_medium_context/20260721T035024_gpt-5.4_940da10c
gpt55	dots96	topup	openai-a	openai-a-076	1	runs/aiwf_medium_context/20260721T035510_gpt-5.5_1cf374d9
gpt54	nofiller	topup	openai-a	openai-a-077	1	runs/aiwf_medium_context/20260721T035728_gpt-5.4_80e0a558
gpt55	dots96	topup	openai-a	openai-a-078	1	runs/aiwf_medium_context/20260721T040105_gpt-5.5_e35b580b
gpt54	dots96	topup	openai-a	openai-a-079	1	runs/aiwf_medium_context/20260721T040318_gpt-5.4_b9259c11
gpt55	dots96	topup	openai-a	openai-a-080	1	runs/aiwf_medium_context/20260721T040758_gpt-5.5_102b5237
gpt55	nofiller	topup	openai-a	openai-a-081	1	runs/aiwf_medium_context/20260721T041119_gpt-5.5_815710d0
gpt55	dots96	topup	openai-a	openai-a-082	1	runs/aiwf_medium_context/20260721T041347_gpt-5.5_3cb0f649
gpt55	dots96	topup	openai-a	openai-a-083	1	runs/aiwf_medium_context/20260721T041900_gpt-5.5_8c6aad20
gpt55	dots96	topup	openai-a	openai-a-084	1	runs/aiwf_medium_context/20260721T042137_gpt-5.5_8c2850d3
terra	nofiller	topup	openai-b	openai-b-001	1	runs/aiwf_medium_context/20260720T210727_gpt-5.6-terra_e3eeffb1
sol	nofiller	topup	openai-b	openai-b-002	1	runs/aiwf_medium_context/20260720T211321_gpt-5.6-sol_a5b76be5
terra	nofiller	topup	openai-b	openai-b-003	1	runs/aiwf_medium_context/20260720T211911_gpt-5.6-terra_f0ab268d
sol	nofiller	topup	openai-b	openai-b-004	1	runs/aiwf_medium_context/20260720T212535_gpt-5.6-sol_d7b7f223
terra	nofiller	topup	openai-b	openai-b-005	1	runs/aiwf_medium_context/20260720T213142_gpt-5.6-terra_69a438b9
sol	dots96	topup	openai-b	openai-b-006	1	runs/aiwf_medium_context/20260720T213631_gpt-5.6-sol_84fe8f08
terra	nofiller	topup	openai-b	openai-b-007	1	runs/aiwf_medium_context/20260720T214300_gpt-5.6-terra_0fd32811
sol	dots96	topup	openai-b	openai-b-008	1	runs/aiwf_medium_context/20260720T214906_gpt-5.6-sol_ab53442e
terra	nofiller	topup	openai-b	openai-b-009	1	runs/aiwf_medium_context/20260720T215631_gpt-5.6-terra_aa161512
sol	nofiller	topup	openai-b	openai-b-010	1	runs/aiwf_medium_context/20260720T220346_gpt-5.6-sol_f499c27f
terra	nofiller	topup	openai-b	openai-b-011	1	runs/aiwf_medium_context/20260720T221156_gpt-5.6-terra_18b96da1
sol	dots96	topup	openai-b	openai-b-012	1	runs/aiwf_medium_context/20260720T222014_gpt-5.6-sol_b7840a3f
terra	nofiller	topup	openai-b	openai-b-013	1	runs/aiwf_medium_context/20260720T222712_gpt-5.6-terra_3f9c2b7d
sol	nofiller	topup	openai-b	openai-b-014	1	runs/aiwf_medium_context/20260720T223455_gpt-5.6-sol_e1d8309a
terra	nofiller	topup	openai-b	openai-b-015	1	runs/aiwf_medium_context/20260720T224056_gpt-5.6-terra_5d1677d1
sol	nofiller	topup	openai-b	openai-b-016	1	runs/aiwf_medium_context/20260720T224820_gpt-5.6-sol_a17e2ebe
terra	nofiller	topup	openai-b	openai-b-017	1	runs/aiwf_medium_context/20260720T225518_gpt-5.6-terra_6dae3b63
sol	dots96	topup	openai-b	openai-b-018	1	runs/aiwf_medium_context/20260720T230225_gpt-5.6-sol_08142e2a
terra	nofiller	topup	openai-b	openai-b-019	1	runs/aiwf_medium_context/20260720T230847_gpt-5.6-terra_69bc5665
sol	dots96	topup	openai-b	openai-b-020	1	runs/aiwf_medium_context/20260720T231451_gpt-5.6-sol_430fe7cb
sol	dots96	topup	openai-b	openai-b-021	1	runs/aiwf_medium_context/20260720T232233_gpt-5.6-sol_f223c2aa
sol	nofiller	topup	openai-b	openai-b-022	1	runs/aiwf_medium_context/20260720T232957_gpt-5.6-sol_e3e7d979
sol	dots96	topup	openai-b	openai-b-023	1	runs/aiwf_medium_context/20260720T233833_gpt-5.6-sol_b435d464
sol	nofiller	topup	openai-b	openai-b-024	1	runs/aiwf_medium_context/20260720T234557_gpt-5.6-sol_5a3c0e55
sol	nofiller	topup	openai-b	openai-b-025	1	runs/aiwf_medium_context/20260720T235309_gpt-5.6-sol_9439fd91
sol	dots96	topup	openai-b	openai-b-026	1	runs/aiwf_medium_context/20260721T000046_gpt-5.6-sol_dbfd270b
sol	nofiller	topup	openai-b	openai-b-027	1	runs/aiwf_medium_context/20260721T000746_gpt-5.6-sol_b6d4b5a5
sol	dots96	topup	openai-b	openai-b-028	1	runs/aiwf_medium_context/20260721T001415_gpt-5.6-sol_2046ddc5
sol	dots96	topup	openai-b	openai-b-029	1	runs/aiwf_medium_context/20260721T002051_gpt-5.6-sol_2a96ba2e
sol	nofiller	topup	openai-b	openai-b-030	1	runs/aiwf_medium_context/20260721T002731_gpt-5.6-sol_ed61b53c
sol	dots96	topup	openai-b	openai-b-031	1	runs/aiwf_medium_context/20260721T003327_gpt-5.6-sol_4d75a9f5
sol	nofiller	topup	openai-b	openai-b-032	1	runs/aiwf_medium_context/20260721T004023_gpt-5.6-sol_9e245ef8
sol	dots96	topup	openai-b	openai-b-033	1	runs/aiwf_medium_context/20260721T004638_gpt-5.6-sol_cfe4d158
sol	dots96	topup	openai-b	openai-b-034	1	runs/aiwf_medium_context/20260721T005246_gpt-5.6-sol_14019770
sol	dots96	topup	openai-b	openai-b-035	1	runs/aiwf_medium_context/20260721T005832_gpt-5.6-sol_6f24a07e
sol	nofiller	topup	openai-b	openai-b-036	1	runs/aiwf_medium_context/20260721T010316_gpt-5.6-sol_09b485e1
sol	dots96	topup	openai-b	openai-b-037	1	runs/aiwf_medium_context/20260721T010957_gpt-5.6-sol_3cc8ed52
sol	nofiller	topup	openai-b	openai-b-038	1	runs/aiwf_medium_context/20260721T011554_gpt-5.6-sol_9b13df63
sol	nofiller	topup	openai-b	openai-b-039	1	runs/aiwf_medium_context/20260721T012055_gpt-5.6-sol_1684bfe4
sol	nofiller	topup	openai-b	openai-b-040	1	runs/aiwf_medium_context/20260721T012447_gpt-5.6-sol_4cd25200
sol	dots96	topup	openai-b	openai-b-041	1	runs/aiwf_medium_context/20260721T013011_gpt-5.6-sol_81228926
sol	nofiller	topup	openai-b	openai-b-042	1	runs/aiwf_medium_context/20260721T013526_gpt-5.6-sol_704d409e
sol	dots96	topup	openai-b	openai-b-043	1	runs/aiwf_medium_context/20260721T013856_gpt-5.6-sol_73fbf1b8
sol	nofiller	topup	openai-b	openai-b-044	1	runs/aiwf_medium_context/20260721T014405_gpt-5.6-sol_31244759
sol	nofiller	topup	openai-b	openai-b-045	1	runs/aiwf_medium_context/20260721T014901_gpt-5.6-sol_b1f53728
sol	dots96	topup	openai-b	openai-b-046	1	runs/aiwf_medium_context/20260721T015527_gpt-5.6-sol_e6908168
sol	nofiller	topup	openai-b	openai-b-047	1	runs/aiwf_medium_context/20260721T015843_gpt-5.6-sol_3c8f5c4f
sol	nofiller	topup	openai-b	openai-b-048	1	runs/aiwf_medium_context/20260721T020531_gpt-5.6-sol_c788c2b1
sol	dots96	topup	openai-b	openai-b-049	1	runs/aiwf_medium_context/20260721T021030_gpt-5.6-sol_27b8e482
sol	dots96	topup	openai-b	openai-b-050	1	runs/aiwf_medium_context/20260721T021639_gpt-5.6-sol_19bb1f04
gemma431	nofiller	topup	lilac	lilac-001	2	runs/aiwf_medium_context/20260720T212255_lilac_gemma-4-31b-it_b0a4b8d8
gemma431	dots96	topup	lilac	lilac-002	4	runs/aiwf_medium_context/20260720T214348_lilac_gemma-4-31b-it_10100d5b
gemma431	dots96	topup	lilac	lilac-003	1	runs/aiwf_medium_context/20260720T215201_lilac_gemma-4-31b-it_6562749e
gemma431	nofiller	topup	lilac	lilac-004	3	runs/aiwf_medium_context/20260720T220102_lilac_gemma-4-31b-it_fc8cf06b
gemma431	dots96	topup	lilac	lilac-005	1	runs/aiwf_medium_context/20260720T221049_lilac_gemma-4-31b-it_bb9fb73b
gemma431	dots96	topup	lilac	lilac-006	1	runs/aiwf_medium_context/20260720T221841_lilac_gemma-4-31b-it_64174a5f
gemma431	nofiller	topup	lilac	lilac-007	1	runs/aiwf_medium_context/20260720T222602_lilac_gemma-4-31b-it_4b5495ce
gemma431	dots96	topup	lilac	lilac-008	2	runs/aiwf_medium_context/20260720T223246_lilac_gemma-4-31b-it_a05b04e0
gemma431	dots96	topup	lilac	lilac-009	1	runs/aiwf_medium_context/20260720T223854_lilac_gemma-4-31b-it_4e04b686
gemma431	nofiller	topup	lilac	lilac-010	2	runs/aiwf_medium_context/20260720T224733_lilac_gemma-4-31b-it_888185d7
gemma431	dots96	topup	lilac	lilac-011	2	runs/aiwf_medium_context/20260720T225455_lilac_gemma-4-31b-it_15b8c1c8
gemma431	dots96	topup	lilac	lilac-012	1	runs/aiwf_medium_context/20260720T230336_lilac_gemma-4-31b-it_18e98ead
gemma431	dots96	topup	lilac	lilac-013	1	runs/aiwf_medium_context/20260720T231042_lilac_gemma-4-31b-it_d2377e4b
gemma431	nofiller	topup	lilac	lilac-014	1	runs/aiwf_medium_context/20260720T231835_lilac_gemma-4-31b-it_bcac935b
gemma431	dots96	topup	lilac	lilac-015	1	runs/aiwf_medium_context/20260720T232406_lilac_gemma-4-31b-it_0ea25d0a
gemma431	dots96	topup	lilac	lilac-016	2	runs/aiwf_medium_context/20260720T233226_lilac_gemma-4-31b-it_8b1eb081
gemma431	dots96	topup	lilac	lilac-017	1	runs/aiwf_medium_context/20260720T234317_lilac_gemma-4-31b-it_9a44f5c0
gemma431	nofiller	topup	lilac	lilac-018	1	runs/aiwf_medium_context/20260720T235048_lilac_gemma-4-31b-it_400f591f
gemma431	dots96	topup	lilac	lilac-019	1	runs/aiwf_medium_context/20260720T235750_lilac_gemma-4-31b-it_fcb3eaa9
gemma431	nofiller	topup	lilac	lilac-020	1	runs/aiwf_medium_context/20260721T000543_lilac_gemma-4-31b-it_485dc75e
gemma431	dots96	topup	lilac	lilac-021	1	runs/aiwf_medium_context/20260721T001018_lilac_gemma-4-31b-it_6b7aff77
gemma431	nofiller	topup	lilac	lilac-022	1	runs/aiwf_medium_context/20260721T001641_lilac_gemma-4-31b-it_d79c8b3b
gemma431	dots96	topup	lilac	lilac-023	1	runs/aiwf_medium_context/20260721T002352_lilac_gemma-4-31b-it_32933698
gemma431	nofiller	topup	lilac	lilac-024	2	runs/aiwf_medium_context/20260721T003104_lilac_gemma-4-31b-it_64031993
gemma431	dots96	topup	lilac	lilac-025	1	runs/aiwf_medium_context/20260721T003719_lilac_gemma-4-31b-it_81e3553f
gemma431	dots96	topup	lilac	lilac-026	2	runs/aiwf_medium_context/20260721T004513_lilac_gemma-4-31b-it_c584f82c
gemma431	nofiller	topup	lilac	lilac-027	1	runs/aiwf_medium_context/20260721T005023_lilac_gemma-4-31b-it_b1a23eaf
gemma431	dots96	topup	lilac	lilac-028	1	runs/aiwf_medium_context/20260721T005459_lilac_gemma-4-31b-it_a09bdc6c
gemma431	dots96	topup	lilac	lilac-029	1	runs/aiwf_medium_context/20260721T010203_lilac_gemma-4-31b-it_7db1d3e8
gemma431	dots96	topup	lilac	lilac-030	1	runs/aiwf_medium_context/20260721T010835_lilac_gemma-4-31b-it_8f4e994e
inkling	nofiller	topup	baseten	baseten-001	1	runs/aiwf_medium_context/20260720T210727_thinkingmachines_inkling_00e6e92a
glm52	dots96	topup	baseten	baseten-002	1	runs/aiwf_medium_context/20260720T210917_zai-org_GLM-5.2_f4860238
inkling	dots96	topup	baseten	baseten-003	1	runs/aiwf_medium_context/20260720T211659_thinkingmachines_inkling_61162b59
glm52	nofiller	topup	baseten	baseten-004	1	runs/aiwf_medium_context/20260720T212121_zai-org_GLM-5.2_8f880b6a
inkling	nofiller	topup	baseten	baseten-005	1	runs/aiwf_medium_context/20260720T212642_thinkingmachines_inkling_368ec2c7
glm52	dots96	topup	baseten	baseten-006	1	runs/aiwf_medium_context/20260720T213250_zai-org_GLM-5.2_caf09964
inkling	dots96	topup	baseten	baseten-007	1	runs/aiwf_medium_context/20260720T213947_thinkingmachines_inkling_017ad3b3
glm52	dots96	topup	baseten	baseten-008	1	runs/aiwf_medium_context/20260720T214419_zai-org_GLM-5.2_1cdc3714
inkling	nofiller	topup	baseten	baseten-009	1	runs/aiwf_medium_context/20260720T215050_thinkingmachines_inkling_a81d0f94
glm52	dots96	topup	baseten	baseten-010	1	runs/aiwf_medium_context/20260720T215750_zai-org_GLM-5.2_9a725ff6
inkling	dots96	topup	baseten	baseten-011	1	runs/aiwf_medium_context/20260720T220648_thinkingmachines_inkling_0ab9ee46
glm52	nofiller	topup	baseten	baseten-012	1	runs/aiwf_medium_context/20260720T221320_zai-org_GLM-5.2_dccc3687
inkling	nofiller	topup	baseten	baseten-013	1	runs/aiwf_medium_context/20260720T222125_thinkingmachines_inkling_8b64cbc7
glm52	nofiller	topup	baseten	baseten-014	1	runs/aiwf_medium_context/20260720T222815_zai-org_GLM-5.2_a15c985b
inkling	nofiller	topup	baseten	baseten-015	1	runs/aiwf_medium_context/20260720T223648_thinkingmachines_inkling_d2fffc33
glm52	dots96	topup	baseten	baseten-016	1	runs/aiwf_medium_context/20260720T224328_zai-org_GLM-5.2_48ac0734
inkling	nofiller	topup	baseten	baseten-017	1	runs/aiwf_medium_context/20260720T224943_thinkingmachines_inkling_4575f305
glm52	nofiller	topup	baseten	baseten-018	1	runs/aiwf_medium_context/20260720T225651_zai-org_GLM-5.2_e809b768
inkling	dots96	topup	baseten	baseten-019	1	runs/aiwf_medium_context/20260720T230525_thinkingmachines_inkling_7a931929
glm52	dots96	topup	baseten	baseten-020	1	runs/aiwf_medium_context/20260720T231157_zai-org_GLM-5.2_af3e0171
inkling	nofiller	topup	baseten	baseten-021	1	runs/aiwf_medium_context/20260720T231944_thinkingmachines_inkling_fc9dce5e
glm52	nofiller	topup	baseten	baseten-022	1	runs/aiwf_medium_context/20260720T232525_zai-org_GLM-5.2_512b385e
inkling	nofiller	topup	baseten	baseten-023	1	runs/aiwf_medium_context/20260720T233220_thinkingmachines_inkling_cc61cecf
glm52	nofiller	topup	baseten	baseten-024	1	runs/aiwf_medium_context/20260720T233951_zai-org_GLM-5.2_83913b1a
inkling	nofiller	topup	baseten	baseten-025	1	runs/aiwf_medium_context/20260720T234838_thinkingmachines_inkling_95cd0306
glm52	dots96	topup	baseten	baseten-026	1	runs/aiwf_medium_context/20260720T235428_zai-org_GLM-5.2_634d2f7d
inkling	dots96	topup	baseten	baseten-027	1	runs/aiwf_medium_context/20260721T000206_thinkingmachines_inkling_fa640f42
glm52	dots96	topup	baseten	baseten-028	1	runs/aiwf_medium_context/20260721T000908_zai-org_GLM-5.2_2053c80a
inkling	dots96	topup	baseten	baseten-029	1	runs/aiwf_medium_context/20260721T001532_thinkingmachines_inkling_7e35d8e0
glm52	dots96	topup	baseten	baseten-030	1	runs/aiwf_medium_context/20260721T002236_zai-org_GLM-5.2_e61d743c
inkling	nofiller	topup	baseten	baseten-031	1	runs/aiwf_medium_context/20260721T002852_thinkingmachines_inkling_a3d127c0
glm52	nofiller	topup	baseten	baseten-032	1	runs/aiwf_medium_context/20260721T003620_zai-org_GLM-5.2_f197535e
inkling	dots96	topup	baseten	baseten-033	1	runs/aiwf_medium_context/20260721T004132_thinkingmachines_inkling_a26901ff
glm52	dots96	topup	baseten	baseten-034	1	runs/aiwf_medium_context/20260721T004756_zai-org_GLM-5.2_e986f004
inkling	nofiller	topup	baseten	baseten-035	1	runs/aiwf_medium_context/20260721T005355_thinkingmachines_inkling_0821e8c2
glm52	nofiller	topup	baseten	baseten-036	1	runs/aiwf_medium_context/20260721T005952_zai-org_GLM-5.2_650474c1
inkling	dots96	topup	baseten	baseten-037	1	runs/aiwf_medium_context/20260721T010553_thinkingmachines_inkling_b9fee6f9
glm52	nofiller	topup	baseten	baseten-038	1	runs/aiwf_medium_context/20260721T011112_zai-org_GLM-5.2_5348dec5
inkling	nofiller	topup	baseten	baseten-039	1	runs/aiwf_medium_context/20260721T011656_thinkingmachines_inkling_54f1376e
glm52	dots96	topup	baseten	baseten-040	1	runs/aiwf_medium_context/20260721T012218_zai-org_GLM-5.2_ebdb516b
inkling	nofiller	topup	baseten	baseten-041	1	runs/aiwf_medium_context/20260721T012610_thinkingmachines_inkling_210e7e5d
glm52	nofiller	topup	baseten	baseten-042	1	runs/aiwf_medium_context/20260721T013120_zai-org_GLM-5.2_5b7895e1
inkling	dots96	topup	baseten	baseten-043	1	runs/aiwf_medium_context/20260721T013644_thinkingmachines_inkling_546e16f2
glm52	dots96	topup	baseten	baseten-044	1	runs/aiwf_medium_context/20260721T014135_zai-org_GLM-5.2_10bc43c1
inkling	nofiller	topup	baseten	baseten-045	1	runs/aiwf_medium_context/20260721T014528_thinkingmachines_inkling_98bbbea5
glm52	dots96	topup	baseten	baseten-046	1	runs/aiwf_medium_context/20260721T015018_zai-org_GLM-5.2_e2159828
inkling	dots96	topup	baseten	baseten-047	1	runs/aiwf_medium_context/20260721T015635_thinkingmachines_inkling_ed3c8f98
glm52	nofiller	topup	baseten	baseten-048	1	runs/aiwf_medium_context/20260721T020042_zai-org_GLM-5.2_b008c31c
inkling	nofiller	topup	baseten	baseten-049	1	runs/aiwf_medium_context/20260721T020642_thinkingmachines_inkling_e8db4f92
glm52	dots96	topup	baseten	baseten-050	1	runs/aiwf_medium_context/20260721T021154_zai-org_GLM-5.2_fc444af2
inkling	dots96	topup	baseten	baseten-051	1	runs/aiwf_medium_context/20260721T021830_thinkingmachines_inkling_d0da0b78
glm52	nofiller	topup	baseten	baseten-052	1	runs/aiwf_medium_context/20260721T022308_zai-org_GLM-5.2_e7f12e21
inkling	nofiller	topup	baseten	baseten-053	1	runs/aiwf_medium_context/20260721T022546_thinkingmachines_inkling_c9d0920c
glm52	dots96	topup	baseten	baseten-054	1	runs/aiwf_medium_context/20260721T023034_zai-org_GLM-5.2_e4fa6b43
inkling	dots96	topup	baseten	baseten-055	1	runs/aiwf_medium_context/20260721T023459_thinkingmachines_inkling_52573f32
glm52	nofiller	topup	baseten	baseten-056	1	runs/aiwf_medium_context/20260721T023748_zai-org_GLM-5.2_75cc4aa5
inkling	dots96	topup	baseten	baseten-057	1	runs/aiwf_medium_context/20260721T024124_thinkingmachines_inkling_0533db37
glm52	nofiller	topup	baseten	baseten-058	1	runs/aiwf_medium_context/20260721T024400_zai-org_GLM-5.2_0c7a3760
inkling	dots96	topup	baseten	baseten-059	1	runs/aiwf_medium_context/20260721T024806_thinkingmachines_inkling_b6a55d6c
glm52	nofiller	topup	baseten	baseten-060	1	runs/aiwf_medium_context/20260721T025152_zai-org_GLM-5.2_6ba2b569
inkling	nofiller	topup	baseten	baseten-061	1	runs/aiwf_medium_context/20260721T025428_thinkingmachines_inkling_ee0e124f
glm52	dots96	topup	baseten	baseten-062	1	runs/aiwf_medium_context/20260721T025651_zai-org_GLM-5.2_d1560f04
inkling	dots96	topup	baseten	baseten-063	1	runs/aiwf_medium_context/20260721T025937_thinkingmachines_inkling_47ee0a40
glm52	dots96	topup	baseten	baseten-064	1	runs/aiwf_medium_context/20260721T030243_zai-org_GLM-5.2_862da91a
inkling	nofiller	topup	baseten	baseten-065	1	runs/aiwf_medium_context/20260721T030626_thinkingmachines_inkling_6bee33ec
glm52	dots96	topup	baseten	baseten-066	1	runs/aiwf_medium_context/20260721T031133_zai-org_GLM-5.2_5f90fcea
inkling	nofiller	topup	baseten	baseten-067	1	runs/aiwf_medium_context/20260721T031548_thinkingmachines_inkling_4feb7c92
glm52	nofiller	topup	baseten	baseten-068	1	runs/aiwf_medium_context/20260721T031847_zai-org_GLM-5.2_64406128
inkling	dots96	topup	baseten	baseten-069	1	runs/aiwf_medium_context/20260721T032129_thinkingmachines_inkling_8c4cdd14
glm52	nofiller	topup	baseten	baseten-070	1	runs/aiwf_medium_context/20260721T032711_zai-org_GLM-5.2_5bec215e
inkling	dots96	topup	baseten	baseten-071	1	runs/aiwf_medium_context/20260721T033252_thinkingmachines_inkling_880a94b4
glm52	nofiller	topup	baseten	baseten-072	1	runs/aiwf_medium_context/20260721T033656_zai-org_GLM-5.2_0cae3869
inkling	nofiller	topup	baseten	baseten-073	1	runs/aiwf_medium_context/20260721T034101_thinkingmachines_inkling_9afcb1cc
glm52	dots96	topup	baseten	baseten-074	1	runs/aiwf_medium_context/20260721T034327_zai-org_GLM-5.2_60ca8c56
inkling	dots96	topup	baseten	baseten-075	1	runs/aiwf_medium_context/20260721T034911_thinkingmachines_inkling_f865db9c
glm52	dots96	topup	baseten	baseten-076	1	runs/aiwf_medium_context/20260721T035139_zai-org_GLM-5.2_0c8ce67e
inkling	dots96	topup	baseten	baseten-077	1	runs/aiwf_medium_context/20260721T035623_thinkingmachines_inkling_49289a5f
glm52	nofiller	topup	baseten	baseten-078	1	runs/aiwf_medium_context/20260721T035934_zai-org_GLM-5.2_56254328
inkling	nofiller	topup	baseten	baseten-079	1	runs/aiwf_medium_context/20260721T040214_thinkingmachines_inkling_348f3d53
glm52	nofiller	topup	baseten	baseten-080	1	runs/aiwf_medium_context/20260721T040633_zai-org_GLM-5.2_5cc4a3ea
inkling	nofiller	topup	baseten	baseten-081	1	runs/aiwf_medium_context/20260721T040900_thinkingmachines_inkling_cc012a34
inkling	dots96	topup	baseten	baseten-082	1	runs/aiwf_medium_context/20260721T041239_thinkingmachines_inkling_f81f0b24
