campaign_level	macro_block	arm	half	snapshot_id	seed_start	seed_stop
2048	4	fp8	second	turn15-local_bf16-02	64	128
2048	4	fp8	second	turn15-local_bf16-03	64	128
2048	4	fp8	second	turn15-local_bf16-04	64	128
4096	1	fp8	first	turn12-golden	512	768
4096	1	fp8	first	turn12-baseten_bf16-01	128	192
4096	1	fp8	first	turn12-baseten_bf16-02	128	192
4096	1	fp8	first	turn12-baseten_bf16-03	128	192
4096	1	fp8	first	turn12-baseten_bf16-04	128	192
4096	1	fp8	first	turn12-local_fp8-01	128	192
4096	1	fp8	first	turn12-local_fp8-02	128	192
4096	1	fp8	first	turn12-local_fp8-03	128	192
4096	1	fp8	first	turn12-local_fp8-04	128	192
4096	1	fp8	first	turn12-local_bf16-01	128	192
4096	1	fp8	first	turn12-local_bf16-02	128	192
4096	1	fp8	first	turn12-local_bf16-03	128	192
4096	1	fp8	first	turn12-local_bf16-04	128	192
4096	1	fp8	first	turn15-golden	512	768
4096	1	fp8	first	turn15-baseten_bf16-01	128	192
4096	1	fp8	first	turn15-baseten_bf16-02	128	192
4096	1	fp8	first	turn15-baseten_bf16-03	128	192
4096	1	fp8	first	turn15-baseten_bf16-04	128	192
4096	1	fp8	first	turn15-local_fp8-01	128	192
4096	1	fp8	first	turn15-local_fp8-02	128	192
4096	1	fp8	first	turn15-local_fp8-03	128	192
4096	1	fp8	first	turn15-local_fp8-04	128	192
4096	1	fp8	first	turn15-local_bf16-01	128	192
4096	1	fp8	first	turn15-local_bf16-02	128	192
4096	1	fp8	first	turn15-local_bf16-03	128	192
4096	1	fp8	first	turn15-local_bf16-04	128	192
4096	2	bf16	first	turn12-golden	512	768
4096	2	bf16	first	turn12-baseten_bf16-01	128	192
4096	2	bf16	first	turn12-baseten_bf16-02	128	192
4096	2	bf16	first	turn12-baseten_bf16-03	128	192
4096	2	bf16	first	turn12-baseten_bf16-04	128	192
4096	2	bf16	first	turn12-local_fp8-01	128	192
4096	2	bf16	first	turn12-local_fp8-02	128	192
4096	2	bf16	first	turn12-local_fp8-03	128	192
4096	2	bf16	first	turn12-local_fp8-04	128	192
4096	2	bf16	first	turn12-local_bf16-01	128	192
4096	2	bf16	first	turn12-local_bf16-02	128	192
4096	2	bf16	first	turn12-local_bf16-03	128	192
4096	2	bf16	first	turn12-local_bf16-04	128	192
4096	2	bf16	first	turn15-golden	512	768
4096	2	bf16	first	turn15-baseten_bf16-01	128	192
4096	2	bf16	first	turn15-baseten_bf16-02	128	192
4096	2	bf16	first	turn15-baseten_bf16-03	128	192
4096	2	bf16	first	turn15-baseten_bf16-04	128	192
4096	2	bf16	first	turn15-local_fp8-01	128	192
4096	2	bf16	first	turn15-local_fp8-02	128	192
4096	2	bf16	first	turn15-local_fp8-03	128	192
4096	2	bf16	first	turn15-local_fp8-04	128	192
4096	2	bf16	first	turn15-local_bf16-01	128	192
4096	2	bf16	first	turn15-local_bf16-02	128	192
4096	2	bf16	first	turn15-local_bf16-03	128	192
4096	2	bf16	first	turn15-local_bf16-04	128	192
4096	3	bf16	second	turn12-golden	768	1024
4096	3	bf16	second	turn12-baseten_bf16-01	192	256
4096	3	bf16	second	turn12-baseten_bf16-02	192	256
4096	3	bf16	second	turn12-baseten_bf16-03	192	256
4096	3	bf16	second	turn12-baseten_bf16-04	192	256
4096	3	bf16	second	turn12-local_fp8-01	192	256
4096	3	bf16	second	turn12-local_fp8-02	192	256
4096	3	bf16	second	turn12-local_fp8-03	192	256
4096	3	bf16	second	turn12-local_fp8-04	192	256
4096	3	bf16	second	turn12-local_bf16-01	192	256
4096	3	bf16	second	turn12-local_bf16-02	192	256
4096	3	bf16	second	turn12-local_bf16-03	192	256
4096	3	bf16	second	turn12-local_bf16-04	192	256
4096	3	bf16	second	turn15-golden	768	1024
4096	3	bf16	second	turn15-baseten_bf16-01	192	256
4096	3	bf16	second	turn15-baseten_bf16-02	192	256
4096	3	bf16	second	turn15-baseten_bf16-03	192	256
4096	3	bf16	second	turn15-baseten_bf16-04	192	256
4096	3	bf16	second	turn15-local_fp8-01	192	256
4096	3	bf16	second	turn15-local_fp8-02	192	256
4096	3	bf16	second	turn15-local_fp8-03	192	256
4096	3	bf16	second	turn15-local_fp8-04	192	256
4096	3	bf16	second	turn15-local_bf16-01	192	256
4096	3	bf16	second	turn15-local_bf16-02	192	256
4096	3	bf16	second	turn15-local_bf16-03	192	256
4096	3	bf16	second	turn15-local_bf16-04	192	256
