model	arm	run_dir	transcript_rows	end_session_turn	classification	judged	provenance	source
terra	nofiller	runs/aiwf_medium_context/20260716T100228_gpt-5.6-terra_4bdc9f2a	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T100727_gpt-5.6-terra_ea4fad1c	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T101147_gpt-5.6-terra_e3ad20a5	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T101542_gpt-5.6-terra_568d5969	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T102003_gpt-5.6-terra_b81ed3d7	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T102435_gpt-5.6-terra_6e956952	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T102904_gpt-5.6-terra_59ce6596	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T103330_gpt-5.6-terra_9778a41d	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T103809_gpt-5.6-terra_ae2d4d56	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260716T104227_gpt-5.6-terra_b4696ed1	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt56_terra_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T090154_gpt-5.6-terra_f5f2d0e0	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T091556_gpt-5.6-terra_9786f6bf	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T093157_gpt-5.6-terra_bc67d1b5	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T094633_gpt-5.6-terra_f6ffdb8a	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T100118_gpt-5.6-terra_de57b3c8	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T101446_gpt-5.6-terra_8d1cc736	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T131820_gpt-5.6-terra_848db695	34	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T132053_gpt-5.6-terra_13d53e0a	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T132340_gpt-5.6-terra_fab69a95	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	nofiller	runs/aiwf_medium_context/20260719T132540_gpt-5.6-terra_ecc6b379	33	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
terra	dots96	runs/aiwf_medium_context/20260719T090348_gpt-5.6-terra_4515b9b3	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T090407_gpt-5.6-terra_a9f7d41d	30	29	strict_complete	1	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T091910_gpt-5.6-terra_788dfd1b	15	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T091931_gpt-5.6-terra_8d001a0e	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T091952_gpt-5.6-terra_35b96f4f	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T092013_gpt-5.6-terra_536fc42e	17	-1	incomplete_no_end_session	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T093356_gpt-5.6-terra_7bd02599	32	29	strict_complete	1	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T094855_gpt-5.6-terra_6e9a46ca	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T094913_gpt-5.6-terra_7f118d15	31	29	strict_complete	1	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
