model	arm	run_dir	transcript_rows	end_session_turn	classification	judged	provenance	source
inkling	nofiller	runs/aiwf_medium_context/20260718T232425_thinkingmachines_inkling_8351c57b	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/inkling_filler_manifest.tsv
inkling	dots96	runs/aiwf_medium_context/20260718T221956_thinkingmachines_inkling_58c64730	31	29	strict_complete	1	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T222908_thinkingmachines_inkling_a67e6dc9	32	29	strict_complete	1	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T223904_thinkingmachines_inkling_daeee3e8	31	29	strict_complete	1	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T225052_thinkingmachines_inkling_870e2d7a	32	29	strict_complete	1	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T230123_thinkingmachines_inkling_388aae8a	30	29	strict_complete	1	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T231054_thinkingmachines_inkling_eed035eb	31	29	strict_complete	1	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T232004_thinkingmachines_inkling_7d4b787b	30	29	strict_complete	1	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T233118_thinkingmachines_inkling_73b552b8	31	29	strict_complete	1	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T221939_thinkingmachines_inkling_f46cecd8	17	30	model_abort	0	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
inkling	dots96	runs/aiwf_medium_context/20260718T225034_thinkingmachines_inkling_dcd5c571	17	30	model_abort	0	attempt-reconstruction	docs/filler-study-data/inkling_filler_manifest.tsv+attempt audit
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T085738_qwen_qwen3-8b_af705305	33	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T094349_qwen_qwen3-8b_4e2c7b20	34	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T101701_qwen_qwen3-8b_45b13444	33	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T105655_qwen_qwen3-8b_c78d641b	34	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T113228_qwen_qwen3-8b_2cc86dae	32	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T122422_qwen_qwen3-8b_971997d7	34	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T130551_qwen_qwen3-8b_d813e464	33	32	model_abort	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T131050_qwen_qwen3-8b_ecf9fd08	33	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T131523_qwen_qwen3-8b_24eb001c	33	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	nofiller	runs/aiwf_medium_context/20260719T132008_qwen_qwen3-8b_a4689533	33	32	model_abort	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	dots96	runs/aiwf_medium_context/20260719T090213_qwen_qwen3-8b_bd4ca44e	35	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	dots96	runs/aiwf_medium_context/20260719T094807_qwen_qwen3-8b_0fd909c9	35	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	dots96	runs/aiwf_medium_context/20260719T102127_qwen_qwen3-8b_353eb393	36	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	dots96	runs/aiwf_medium_context/20260719T110116_qwen_qwen3-8b_8f0789be	34	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	dots96	runs/aiwf_medium_context/20260719T113744_qwen_qwen3-8b_627b6384	32	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
qwen3_8b	dots96	runs/aiwf_medium_context/20260719T122905_qwen_qwen3-8b_e31f5905	35	-1	incomplete_no_end_session	1	runtime-signature	docs/filler-study-data/expand_openrouter_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T032654_zai-org_GLM-5.2_c766c0fb	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T034436_zai-org_GLM-5.2_a1b3d776	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T040515_zai-org_GLM-5.2_7fa0becf	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T042517_zai-org_GLM-5.2_3d918489	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T044358_zai-org_GLM-5.2_1ac3112f	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T050550_zai-org_GLM-5.2_1d9be7e2	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T082027_zai-org_GLM-5.2_8f095801	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T083159_zai-org_GLM-5.2_585d5e02	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T084507_zai-org_GLM-5.2_babf4925	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	nofiller	runs/aiwf_medium_context/20260719T085644_zai-org_GLM-5.2_a6de8705	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T032920_zai-org_GLM-5.2_7b5ec693	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T034702_zai-org_GLM-5.2_0279b9bb	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T040732_zai-org_GLM-5.2_5c74101b	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T042743_zai-org_GLM-5.2_7c6bb2c7	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T044615_zai-org_GLM-5.2_f1751bd9	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T050753_zai-org_GLM-5.2_b601b71c	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T082245_zai-org_GLM-5.2_af4037bc	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T083434_zai-org_GLM-5.2_ec24f5df	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T084737_zai-org_GLM-5.2_63912537	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
glm52	dots96	runs/aiwf_medium_context/20260719T085921_zai-org_GLM-5.2_799ba907	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_baseten_manifest.tsv
