slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
19	none	1	2026-08-07T10:12:50+00:00	2026-08-07T10:13:36+00:00	unknown	runs/aiwf_medium_context/20260807T101250Z_google_gemma-4-31B-it_none_slot019_attempt01_d6dbd834	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot019-none-attempt01.log
20	none	1	2026-08-07T10:13:36+00:00	2026-08-07T10:14:18+00:00	unknown	runs/aiwf_medium_context/20260807T101336Z_google_gemma-4-31B-it_none_slot020_attempt01_c17e01af	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot020-none-attempt01.log
21	none	1	2026-08-07T10:14:18+00:00	2026-08-07T10:15:05+00:00	unknown	runs/aiwf_medium_context/20260807T101418Z_google_gemma-4-31B-it_none_slot021_attempt01_24b56143	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot021-none-attempt01.log
22	none	1	2026-08-07T10:15:05+00:00	2026-08-07T10:15:48+00:00	unknown	runs/aiwf_medium_context/20260807T101505Z_google_gemma-4-31B-it_none_slot022_attempt01_a73cd00c	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot022-none-attempt01.log
23	none	1	2026-08-07T10:15:48+00:00	2026-08-07T10:16:32+00:00	unknown	runs/aiwf_medium_context/20260807T101548Z_google_gemma-4-31B-it_none_slot023_attempt01_e7ac1aba	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot023-none-attempt01.log
24	none	1	2026-08-07T10:16:32+00:00	2026-08-07T10:17:19+00:00	unknown	runs/aiwf_medium_context/20260807T101632Z_google_gemma-4-31B-it_none_slot024_attempt01_e72f8411	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot024-none-attempt01.log
25	none	1	2026-08-07T10:17:19+00:00	2026-08-07T10:18:03+00:00	unknown	runs/aiwf_medium_context/20260807T101719Z_google_gemma-4-31B-it_none_slot025_attempt01_e055961f	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot025-none-attempt01.log
26	none	1	2026-08-07T10:18:03+00:00	2026-08-07T10:18:45+00:00	unknown	runs/aiwf_medium_context/20260807T101803Z_google_gemma-4-31B-it_none_slot026_attempt01_12e092a0	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot026-none-attempt01.log
27	none	1	2026-08-07T10:18:45+00:00	2026-08-07T10:19:29+00:00	unknown	runs/aiwf_medium_context/20260807T101845Z_google_gemma-4-31B-it_none_slot027_attempt01_3233b774	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot027-none-attempt01.log
28	none	1	2026-08-07T10:19:29+00:00	2026-08-07T10:20:12+00:00	unknown	runs/aiwf_medium_context/20260807T101929Z_google_gemma-4-31B-it_none_slot028_attempt01_e4401ff0	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot028-none-attempt01.log
29	none	1	2026-08-07T10:20:12+00:00	2026-08-07T10:20:54+00:00	unknown	runs/aiwf_medium_context/20260807T102012Z_google_gemma-4-31B-it_none_slot029_attempt01_555f97f2	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot029-none-attempt01.log
30	none	1	2026-08-07T10:20:54+00:00	2026-08-07T10:21:38+00:00	unknown	runs/aiwf_medium_context/20260807T102054Z_google_gemma-4-31B-it_none_slot030_attempt01_42196fde	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot030-none-attempt01.log
31	none	1	2026-08-07T10:21:38+00:00	2026-08-07T10:22:24+00:00	unknown	runs/aiwf_medium_context/20260807T102138Z_google_gemma-4-31B-it_none_slot031_attempt01_1048421f	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot031-none-attempt01.log
32	none	1	2026-08-07T10:22:24+00:00	2026-08-07T10:23:08+00:00	unknown	runs/aiwf_medium_context/20260807T102224Z_google_gemma-4-31B-it_none_slot032_attempt01_0b24bd11	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot032-none-attempt01.log
33	none	1	2026-08-07T10:23:08+00:00	2026-08-07T10:23:53+00:00	unknown	runs/aiwf_medium_context/20260807T102308Z_google_gemma-4-31B-it_none_slot033_attempt01_8245fcf1	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot033-none-attempt01.log
