slot	pair	arm	attempt	started_at	finished_at	exit_code	run_dir	scheduled_rows	response_turns	end_session_turn	classification	log
IS-25	13	low	1	2026-07-31T18:04:12+00:00	2026-07-31T18:04:23+00:00	0	runs/aiwf_medium_context/20260731T110413_thinkingmachines_inkling-small_de13acee	18	18	30	recovery_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-25-attempt-1.log
IS-26	13	none	1	2026-07-31T18:04:23+00:00	2026-07-31T18:04:47+00:00	0	runs/aiwf_medium_context/20260731T110424_thinkingmachines_inkling-small_a9fbc355	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-26-attempt-1.log
IS-27	14	none	1	2026-07-31T18:04:47+00:00	2026-07-31T18:05:53+00:00	0	runs/aiwf_medium_context/20260731T110449_thinkingmachines_inkling-small_cce1f375	13	13	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-27-attempt-1.log
IS-28	14	low	1	2026-07-31T18:05:53+00:00	2026-07-31T18:06:03+00:00	0	runs/aiwf_medium_context/20260731T110554_thinkingmachines_inkling-small_5bfa8db9	16	16	30	recovery_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-28-attempt-1.log
IS-29	15	none	1	2026-07-31T18:06:03+00:00	2026-07-31T18:06:31+00:00	0	runs/aiwf_medium_context/20260731T110605_thinkingmachines_inkling-small_ee0527b0	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-29-attempt-1.log
IS-30	15	low	1	2026-07-31T18:06:31+00:00	2026-07-31T18:07:45+00:00	0	runs/aiwf_medium_context/20260731T110632_thinkingmachines_inkling-small_b348350a	25	25	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-30-attempt-1.log
IS-31	16	none	1	2026-07-31T18:07:45+00:00	2026-07-31T18:08:04+00:00	0	runs/aiwf_medium_context/20260731T110746_thinkingmachines_inkling-small_c1c19874	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-31-attempt-1.log
IS-32	16	low	1	2026-07-31T18:08:04+00:00	2026-07-31T18:08:17+00:00	0	runs/aiwf_medium_context/20260731T110806_thinkingmachines_inkling-small_e8fd0fca	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-32-attempt-1.log
IS-33	17	low	1	2026-07-31T18:08:17+00:00	2026-07-31T18:09:14+00:00	0	runs/aiwf_medium_context/20260731T110819_thinkingmachines_inkling-small_218d4825	6	6	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-33-attempt-1.log
IS-34	17	none	1	2026-07-31T18:09:15+00:00	2026-07-31T18:09:32+00:00	0	runs/aiwf_medium_context/20260731T110916_thinkingmachines_inkling-small_a84db19e	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-34-attempt-1.log
