ordinal	block	position	arm	arm_index	attempt	run_dir	run_rc	records	scripted_turns	request_verified	status	started_utc	finished_utc
28	7	4	low	7	1	runs/aiwf_medium_context/20260811T063736_muse-glimmer-30b_ce49a16d	0	34	30	1	included	2026-08-11T13:37:34Z	2026-08-11T13:38:20Z
29	8	1	xhigh	8	1	runs/aiwf_medium_context/20260811T063822_muse-glimmer-30b_241d77ed	0	34	30	1	included	2026-08-11T13:38:20Z	2026-08-11T13:39:15Z
30	8	2	low	8	1	runs/aiwf_medium_context/20260811T063916_muse-glimmer-30b_ca50cc04	0	33	30	1	included	2026-08-11T13:39:15Z	2026-08-11T13:39:57Z
31	8	3	high	8	1	runs/aiwf_medium_context/20260811T063959_muse-glimmer-30b_f63a7f11	0	35	30	1	included	2026-08-11T13:39:57Z	2026-08-11T13:41:18Z
32	8	4	medium	8	1	runs/aiwf_medium_context/20260811T064120_muse-glimmer-30b_d857f734	0	33	30	1	included	2026-08-11T13:41:18Z	2026-08-11T13:42:11Z
33	9	1	low	9	1	runs/aiwf_medium_context/20260811T064212_muse-glimmer-30b_0ce3b9fe	0	33	30	1	included	2026-08-11T13:42:11Z	2026-08-11T13:42:58Z
34	9	2	medium	9	1	runs/aiwf_medium_context/20260811T064300_muse-glimmer-30b_d6bfae79	0	35	30	1	included	2026-08-11T13:42:58Z	2026-08-11T13:43:56Z
35	9	3	xhigh	9	1	runs/aiwf_medium_context/20260811T064357_muse-glimmer-30b_82ed2995	0	33	30	1	included	2026-08-11T13:43:56Z	2026-08-11T13:44:52Z
36	9	4	high	9	1	runs/aiwf_medium_context/20260811T064454_muse-glimmer-30b_7f999bad	0	34	30	1	included	2026-08-11T13:44:52Z	2026-08-11T13:45:53Z
37	10	1	medium	10	1	runs/aiwf_medium_context/20260811T064555_muse-glimmer-30b_ad733d9e	0	35	30	1	included	2026-08-11T13:45:53Z	2026-08-11T13:46:46Z
38	10	2	high	10	1	runs/aiwf_medium_context/20260811T064648_muse-glimmer-30b_f3ef9be3	0	34	30	1	included	2026-08-11T13:46:46Z	2026-08-11T13:47:42Z
39	10	3	low	10	1	runs/aiwf_medium_context/20260811T064744_muse-glimmer-30b_bdcc6cb6	0	32	30	1	included	2026-08-11T13:47:42Z	2026-08-11T13:48:26Z
40	10	4	xhigh	10	1	runs/aiwf_medium_context/20260811T064828_muse-glimmer-30b_0af96e72	0	34	30	1	included	2026-08-11T13:48:26Z	2026-08-11T13:49:31Z
41	11	1	high	11	1	runs/aiwf_medium_context/20260811T064933_muse-glimmer-30b_cae71d22	0	34	30	1	included	2026-08-11T13:49:31Z	2026-08-11T13:50:30Z
42	11	2	xhigh	11	1	runs/aiwf_medium_context/20260811T065031_muse-glimmer-30b_a3ff155c	0	34	30	1	included	2026-08-11T13:50:30Z	2026-08-11T13:51:23Z
43	11	3	medium	11	1	runs/aiwf_medium_context/20260811T065124_muse-glimmer-30b_8d4284f9	0	35	30	1	included	2026-08-11T13:51:23Z	2026-08-11T13:52:09Z
44	11	4	low	11	1	runs/aiwf_medium_context/20260811T065211_muse-glimmer-30b_2f818568	0	34	30	1	included	2026-08-11T13:52:09Z	2026-08-11T13:52:49Z
45	12	1	xhigh	12	1	runs/aiwf_medium_context/20260811T065250_muse-glimmer-30b_e879ac3d	0	33	30	1	included	2026-08-11T13:52:49Z	2026-08-11T13:54:05Z
46	12	2	low	12	1	runs/aiwf_medium_context/20260811T065407_muse-glimmer-30b_368f3e59	0	34	30	1	included	2026-08-11T13:54:05Z	2026-08-11T13:54:46Z
47	12	3	high	12	1	runs/aiwf_medium_context/20260811T065447_muse-glimmer-30b_8b795ff9	0	34	30	1	included	2026-08-11T13:54:46Z	2026-08-11T13:55:56Z
48	12	4	medium	12	1	runs/aiwf_medium_context/20260811T065557_muse-glimmer-30b_bacb4557	0	34	30	1	included	2026-08-11T13:55:56Z	2026-08-11T13:56:54Z
49	13	1	low	13	1	runs/aiwf_medium_context/20260811T065655_muse-glimmer-30b_836bdeb1	0	35	30	1	included	2026-08-11T13:56:54Z	2026-08-11T13:57:33Z
50	13	2	medium	13	1	runs/aiwf_medium_context/20260811T065735_muse-glimmer-30b_fa96df8d	0	34	30	1	included	2026-08-11T13:57:33Z	2026-08-11T13:58:27Z
51	13	3	xhigh	13	1	runs/aiwf_medium_context/20260811T065828_muse-glimmer-30b_1e95e838	0	36	30	1	included	2026-08-11T13:58:27Z	2026-08-11T13:59:31Z
52	13	4	high	13	1	runs/aiwf_medium_context/20260811T065932_muse-glimmer-30b_73eba89a	0	36	30	1	included	2026-08-11T13:59:31Z	2026-08-11T14:00:45Z
53	14	1	medium	14	1	runs/aiwf_medium_context/20260811T070047_muse-glimmer-30b_1eec06ff	0	34	30	1	included	2026-08-11T14:00:45Z	2026-08-11T14:01:40Z
54	14	2	high	14	1	runs/aiwf_medium_context/20260811T070142_muse-glimmer-30b_61302b88	0	34	30	1	included	2026-08-11T14:01:40Z	2026-08-11T14:03:00Z
55	14	3	low	14	1	runs/aiwf_medium_context/20260811T070302_muse-glimmer-30b_ab5a71c1	0	35	30	1	included	2026-08-11T14:03:00Z	2026-08-11T14:03:42Z
56	14	4	xhigh	14	1	runs/aiwf_medium_context/20260811T070343_muse-glimmer-30b_8121b541	0	34	30	1	included	2026-08-11T14:03:42Z	2026-08-11T14:04:40Z
57	15	1	high	15	1	runs/aiwf_medium_context/20260811T070441_muse-glimmer-30b_afb38a80	0	33	30	1	included	2026-08-11T14:04:40Z	2026-08-11T14:05:50Z
58	15	2	xhigh	15	1	runs/aiwf_medium_context/20260811T070552_muse-glimmer-30b_480bcbfc	0	36	30	1	included	2026-08-11T14:05:50Z	2026-08-11T14:07:14Z
59	15	3	medium	15	1	runs/aiwf_medium_context/20260811T070716_muse-glimmer-30b_82acf85c	0	34	30	1	included	2026-08-11T14:07:14Z	2026-08-11T14:08:01Z
60	15	4	low	15	1	runs/aiwf_medium_context/20260811T070802_muse-glimmer-30b_17cd2111	0	35	30	1	included	2026-08-11T14:08:01Z	2026-08-11T14:08:49Z
61	16	1	xhigh	16	1	runs/aiwf_medium_context/20260811T070851_muse-glimmer-30b_9e30d730	0	34	30	1	included	2026-08-11T14:08:49Z	2026-08-11T14:09:53Z
62	16	2	low	16	1	runs/aiwf_medium_context/20260811T070955_muse-glimmer-30b_1aceb03c	0	33	30	1	included	2026-08-11T14:09:53Z	2026-08-11T14:10:32Z
63	16	3	high	16	1	runs/aiwf_medium_context/20260811T071034_muse-glimmer-30b_76bf6aea	0	34	30	1	included	2026-08-11T14:10:32Z	2026-08-11T14:11:28Z
64	16	4	medium	16	1	runs/aiwf_medium_context/20260811T071130_muse-glimmer-30b_dd8e9691	0	34	30	1	included	2026-08-11T14:11:28Z	2026-08-11T14:12:17Z
65	17	1	low	17	1	runs/aiwf_medium_context/20260811T071219_muse-glimmer-30b_1e948dfd	0	34	30	1	included	2026-08-11T14:12:17Z	2026-08-11T14:13:04Z
66	17	2	medium	17	1	runs/aiwf_medium_context/20260811T071305_muse-glimmer-30b_49671513	0	34	30	1	included	2026-08-11T14:13:04Z	2026-08-11T14:13:54Z
67	17	3	xhigh	17	1	runs/aiwf_medium_context/20260811T071355_muse-glimmer-30b_b4598c61	0	36	30	1	included	2026-08-11T14:13:54Z	2026-08-11T14:14:56Z
68	17	4	high	17	1	runs/aiwf_medium_context/20260811T071457_muse-glimmer-30b_27de8b4a	0	34	30	1	included	2026-08-11T14:14:56Z	2026-08-11T14:16:06Z
69	18	1	medium	18	1	runs/aiwf_medium_context/20260811T071607_muse-glimmer-30b_11e79d71	0	34	30	1	included	2026-08-11T14:16:06Z	2026-08-11T14:17:13Z
70	18	2	high	18	1	runs/aiwf_medium_context/20260811T071715_muse-glimmer-30b_d82cfb39	0	33	30	1	included	2026-08-11T14:17:13Z	2026-08-11T14:18:17Z
71	18	3	low	18	1	runs/aiwf_medium_context/20260811T071818_muse-glimmer-30b_9850882e	0	34	30	1	included	2026-08-11T14:18:17Z	2026-08-11T14:19:09Z
72	18	4	xhigh	18	1	runs/aiwf_medium_context/20260811T071910_muse-glimmer-30b_476f4760	0	35	30	1	included	2026-08-11T14:19:09Z	2026-08-11T14:20:27Z
