ordinal	arm	arm_index	run_dir	judge_rc	strict_pass	turns_scored	started_utc	finished_utc
96	medium	24	runs/aiwf_medium_context/20260811T074136_muse-glimmer-30b_a61f3c04	0	26	30	2026-08-11T15:44:44Z	2026-08-11T15:46:22Z
97	low	25	runs/aiwf_medium_context/20260811T074234_muse-glimmer-30b_2e016f12	0	26	30	2026-08-11T15:45:07Z	2026-08-11T15:46:14Z
98	medium	25	runs/aiwf_medium_context/20260811T074317_muse-glimmer-30b_20c11e52	0	25	30	2026-08-11T15:45:15Z	2026-08-11T15:47:04Z
99	xhigh	25	runs/aiwf_medium_context/20260811T074414_muse-glimmer-30b_b673b4c9	0	24	30	2026-08-11T15:45:55Z	2026-08-11T15:47:24Z
100	high	25	runs/aiwf_medium_context/20260811T074524_muse-glimmer-30b_79a58755	0	25	30	2026-08-11T15:46:14Z	2026-08-11T15:47:34Z
101	medium	26	runs/aiwf_medium_context/20260811T074636_muse-glimmer-30b_47c75299	0	26	30	2026-08-11T15:46:22Z	2026-08-11T15:47:44Z
102	high	26	runs/aiwf_medium_context/20260811T074734_muse-glimmer-30b_11116584	0	26	30	2026-08-11T15:47:04Z	2026-08-11T15:48:21Z
103	low	26	runs/aiwf_medium_context/20260811T074823_muse-glimmer-30b_bb7cf854	0	26	30	2026-08-11T15:47:24Z	2026-08-11T15:48:54Z
104	xhigh	26	runs/aiwf_medium_context/20260811T074916_muse-glimmer-30b_7cee964e	0	24	30	2026-08-11T15:47:34Z	2026-08-11T15:49:09Z
105	high	27	runs/aiwf_medium_context/20260811T075018_muse-glimmer-30b_a847cacc	0	26	30	2026-08-11T15:47:44Z	2026-08-11T15:49:21Z
106	xhigh	27	runs/aiwf_medium_context/20260811T075105_muse-glimmer-30b_67d25bdb	0	25	30	2026-08-11T15:48:21Z	2026-08-11T15:49:40Z
107	medium	27	runs/aiwf_medium_context/20260811T075200_muse-glimmer-30b_ec199d61	0	27	30	2026-08-11T15:48:54Z	2026-08-11T15:50:21Z
108	low	27	runs/aiwf_medium_context/20260811T075254_muse-glimmer-30b_b8ec2300	0	25	30	2026-08-11T15:49:09Z	2026-08-11T15:51:03Z
109	xhigh	28	runs/aiwf_medium_context/20260811T075335_muse-glimmer-30b_deec2fe2	0	26	30	2026-08-11T15:49:21Z	2026-08-11T15:50:56Z
110	low	28	runs/aiwf_medium_context/20260811T075455_muse-glimmer-30b_3be7b555	0	25	30	2026-08-11T15:49:40Z	2026-08-11T15:51:22Z
111	high	28	runs/aiwf_medium_context/20260811T075539_muse-glimmer-30b_ed160f7b	0	26	30	2026-08-11T15:50:21Z	2026-08-11T15:52:28Z
112	medium	28	runs/aiwf_medium_context/20260811T075638_muse-glimmer-30b_8e4cea0e	0	25	30	2026-08-11T15:50:56Z	2026-08-11T15:53:04Z
113	low	29	runs/aiwf_medium_context/20260811T075739_muse-glimmer-30b_f67cc8f1	0	23	30	2026-08-11T15:51:03Z	2026-08-11T15:52:48Z
114	medium	29	runs/aiwf_medium_context/20260811T075819_muse-glimmer-30b_5428fdfc	0	26	30	2026-08-11T15:51:22Z	2026-08-11T15:52:45Z
115	xhigh	29	runs/aiwf_medium_context/20260811T075911_muse-glimmer-30b_53f42ea2	0	24	30	2026-08-11T15:52:29Z	2026-08-11T15:53:47Z
116	high	29	runs/aiwf_medium_context/20260811T080016_muse-glimmer-30b_e835345d	0	25	30	2026-08-11T15:52:45Z	2026-08-11T15:54:37Z
117	medium	30	runs/aiwf_medium_context/20260811T080127_muse-glimmer-30b_9965b7db	0	26	30	2026-08-11T15:52:48Z	2026-08-11T15:54:28Z
118	high	30	runs/aiwf_medium_context/20260811T080236_muse-glimmer-30b_2435fffc	0	25	30	2026-08-11T15:53:04Z	2026-08-11T15:54:51Z
119	low	30	runs/aiwf_medium_context/20260811T080349_muse-glimmer-30b_8ae62108	0	26	30	2026-08-11T15:53:47Z	2026-08-11T15:55:10Z
120	xhigh	30	runs/aiwf_medium_context/20260811T080428_muse-glimmer-30b_d94030b0	0	26	30	2026-08-11T15:54:28Z	2026-08-11T15:55:55Z
