slot	stage_cap	arm	attempt	started_at	finished_at	exit_code	run_dir	scheduled_rows	response_turns	end_session_turn	classification	log
DOT-21	30	dots96	1	2026-08-03T21:37:02+00:00	2026-08-03T21:38:10+00:00	0	runs/aiwf_medium_context/20260803T143703_thinkingmachines_inkling-small_c5d75982	23	23	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-21-attempt-1.log
DOT-22	30	dots96	1	2026-08-03T21:38:10+00:00	2026-08-03T21:38:30+00:00	0	runs/aiwf_medium_context/20260803T143811_thinkingmachines_inkling-small_2a6c7199	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-22-attempt-1.log
DOT-23	30	dots96	1	2026-08-03T21:38:30+00:00	2026-08-03T21:39:37+00:00	0	runs/aiwf_medium_context/20260803T143831_thinkingmachines_inkling-small_405d21a2	22	22	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-23-attempt-1.log
DOT-24	30	dots96	1	2026-08-03T21:39:37+00:00	2026-08-03T21:40:03+00:00	0	runs/aiwf_medium_context/20260803T143938_thinkingmachines_inkling-small_99078217	29	29	28	model_abort	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-24-attempt-1.log
DOT-25	30	dots96	1	2026-08-03T21:40:03+00:00	2026-08-03T21:41:13+00:00	0	runs/aiwf_medium_context/20260803T144005_thinkingmachines_inkling-small_8a6ea072	28	28	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-25-attempt-1.log
DOT-26	30	dots96	1	2026-08-03T21:41:13+00:00	2026-08-03T21:41:34+00:00	0	runs/aiwf_medium_context/20260803T144115_thinkingmachines_inkling-small_40ce7417	29	29	28	model_abort	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-26-attempt-1.log
DOT-27	30	dots96	1	2026-08-03T21:41:34+00:00	2026-08-03T21:42:35+00:00	0	runs/aiwf_medium_context/20260803T144135_thinkingmachines_inkling-small_ea80caae	18	18	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-27-attempt-1.log
DOT-28	30	dots96	1	2026-08-03T21:42:35+00:00	2026-08-03T21:42:59+00:00	0	runs/aiwf_medium_context/20260803T144236_thinkingmachines_inkling-small_d95a91a9	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-28-attempt-1.log
DOT-29	30	dots96	1	2026-08-03T21:42:59+00:00	2026-08-03T21:43:25+00:00	0	runs/aiwf_medium_context/20260803T144300_thinkingmachines_inkling-small_aeb80e57	29	29	28	model_abort	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-29-attempt-1.log
DOT-30	30	dots96	1	2026-08-03T21:43:25+00:00	2026-08-03T21:44:14+00:00	0	runs/aiwf_medium_context/20260803T144327_thinkingmachines_inkling-small_dd823c03	0	0	-1	infra_zero_response_replaced	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-30-attempt-1.log
DOT-30	30	dots96	2	2026-08-03T21:44:14+00:00	2026-08-03T21:44:35+00:00	0	runs/aiwf_medium_context/20260803T144415_thinkingmachines_inkling-small_0627eaa7	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-30-attempt-2.log
