slot	attempt	started_at	finished_at	exit_code	run_dir	scheduled_rows	response_turns	tool_calls	token_rows	end_session_turn	classification	log
K26-10	1	2026-08-06T16:45:32+00:00	2026-08-06T16:46:08+00:00	0	runs/aiwf_medium_context/20260806T164532Z_moonshotai_Kimi-K2.6_none_K26-10_attempt01_a4c4d688	30	30	5	30	30	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-10-attempt-01.log
K26-11	1	2026-08-06T16:46:08+00:00	2026-08-06T16:46:45+00:00	0	runs/aiwf_medium_context/20260806T164608Z_moonshotai_Kimi-K2.6_none_K26-11_attempt01_cf190162	30	30	6	30	29	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-11-attempt-01.log
K26-12	1	2026-08-06T16:46:45+00:00	2026-08-06T16:47:49+00:00	0	runs/aiwf_medium_context/20260806T164645Z_moonshotai_Kimi-K2.6_none_K26-12_attempt01_03fba483	11	11	0	11	-1	incomplete_scheduled_turns	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-12-attempt-01.log
K26-12	2	2026-08-06T16:47:49+00:00	2026-08-06T16:48:22+00:00	0	runs/aiwf_medium_context/20260806T164749Z_moonshotai_Kimi-K2.6_none_K26-12_attempt02_1bde1b61	30	30	4	30	31	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-12-attempt-02.log
K26-13	1	2026-08-06T16:48:22+00:00	2026-08-06T16:48:52+00:00	0	runs/aiwf_medium_context/20260806T164822Z_moonshotai_Kimi-K2.6_none_K26-13_attempt01_646f2eb8	30	30	5	30	29	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-13-attempt-01.log
K26-14	1	2026-08-06T16:49:53+00:00	2026-08-06T16:50:25+00:00	0	runs/aiwf_medium_context/20260806T164953Z_moonshotai_Kimi-K2.6_none_K26-14_attempt01_1ef773f5	30	30	6	30	29	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-14-attempt-01.log
K26-15	1	2026-08-06T16:50:55+00:00	2026-08-06T16:51:44+00:00	0	runs/aiwf_medium_context/20260806T165055Z_moonshotai_Kimi-K2.6_none_K26-15_attempt01_dd59abae	0	0	0	0	-1	incomplete_missing_artifacts	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-15-attempt-01.log
K26-15	2	2026-08-06T16:52:14+00:00	2026-08-06T16:52:54+00:00	0	runs/aiwf_medium_context/20260806T165214Z_moonshotai_Kimi-K2.6_none_K26-15_attempt02_1976030c	30	30	2	30	-1	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-15-attempt-02.log
K26-16	1	2026-08-06T16:53:24+00:00	2026-08-06T16:53:57+00:00	0	runs/aiwf_medium_context/20260806T165324Z_moonshotai_Kimi-K2.6_none_K26-16_attempt01_4d8867f8	30	30	2	30	33	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-16-attempt-01.log
K26-17	1	2026-08-06T16:54:27+00:00	2026-08-06T16:54:58+00:00	0	runs/aiwf_medium_context/20260806T165427Z_moonshotai_Kimi-K2.6_none_K26-17_attempt01_dd8e0c88	30	30	5	30	29	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-17-attempt-01.log
