slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
97	none	1	2026-08-07T12:41:49+00:00	2026-08-07T12:42:33+00:00	unknown	runs/aiwf_medium_context/20260807T124149Z_google_gemma-4-31B-it_none_slot097_attempt01_4a7e6081	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot097-none-attempt01.log
98	none	1	2026-08-07T12:42:33+00:00	2026-08-07T12:43:19+00:00	unknown	runs/aiwf_medium_context/20260807T124233Z_google_gemma-4-31B-it_none_slot098_attempt01_84bfe4bc	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot098-none-attempt01.log
99	none	1	2026-08-07T12:43:19+00:00	2026-08-07T12:44:06+00:00	unknown	runs/aiwf_medium_context/20260807T124319Z_google_gemma-4-31B-it_none_slot099_attempt01_87dfe7aa	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot099-none-attempt01.log
100	none	1	2026-08-07T12:44:06+00:00	2026-08-07T12:44:54+00:00	unknown	runs/aiwf_medium_context/20260807T124406Z_google_gemma-4-31B-it_none_slot100_attempt01_3debbe43	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot100-none-attempt01.log
101	none	1	2026-08-07T12:44:54+00:00	2026-08-07T12:45:40+00:00	unknown	runs/aiwf_medium_context/20260807T124454Z_google_gemma-4-31B-it_none_slot101_attempt01_52cf341d	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot101-none-attempt01.log
102	none	1	2026-08-07T12:45:40+00:00	2026-08-07T12:46:26+00:00	unknown	runs/aiwf_medium_context/20260807T124540Z_google_gemma-4-31B-it_none_slot102_attempt01_132f5562	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot102-none-attempt01.log
103	none	1	2026-08-07T12:46:27+00:00	2026-08-07T12:47:10+00:00	unknown	runs/aiwf_medium_context/20260807T124627Z_google_gemma-4-31B-it_none_slot103_attempt01_1ca65e94	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot103-none-attempt01.log
104	none	1	2026-08-07T12:47:11+00:00	2026-08-07T12:47:53+00:00	unknown	runs/aiwf_medium_context/20260807T124711Z_google_gemma-4-31B-it_none_slot104_attempt01_e2db6ebb	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot104-none-attempt01.log
105	none	1	2026-08-07T12:47:53+00:00	2026-08-07T12:48:39+00:00	unknown	runs/aiwf_medium_context/20260807T124753Z_google_gemma-4-31B-it_none_slot105_attempt01_16da299e	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot105-none-attempt01.log
106	none	1	2026-08-07T12:48:39+00:00	2026-08-07T12:49:24+00:00	unknown	runs/aiwf_medium_context/20260807T124839Z_google_gemma-4-31B-it_none_slot106_attempt01_d8485874	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot106-none-attempt01.log
107	none	1	2026-08-07T12:49:24+00:00	2026-08-07T12:50:10+00:00	unknown	runs/aiwf_medium_context/20260807T124924Z_google_gemma-4-31B-it_none_slot107_attempt01_af06a902	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot107-none-attempt01.log
108	none	1	2026-08-07T12:50:10+00:00	2026-08-07T12:50:57+00:00	unknown	runs/aiwf_medium_context/20260807T125010Z_google_gemma-4-31B-it_none_slot108_attempt01_55e9616a	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot108-none-attempt01.log
109	none	1	2026-08-07T12:50:57+00:00	2026-08-07T12:51:46+00:00	unknown	runs/aiwf_medium_context/20260807T125057Z_google_gemma-4-31B-it_none_slot109_attempt01_75d8201b	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot109-none-attempt01.log
