slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
19	on-unbounded	1	2026-08-12T01:30:57+00:00	2026-08-12T01:32:27+00:00	unknown	runs/aiwf_medium_context/20260812T013057Z_nemotron-3.5-lightning_on-unbounded_slot019_attempt01_fce36302	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot019-on-unbounded-attempt01.log
20	off	1	2026-08-12T01:32:27+00:00	2026-08-12T01:32:30+00:00	unknown	runs/aiwf_medium_context/20260812T013227Z_nemotron-3.5-lightning_off_slot020_attempt01_7561b834	1	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot020-off-attempt01.log
21	off	1	2026-08-12T01:32:31+00:00	2026-08-12T01:32:35+00:00	unknown	runs/aiwf_medium_context/20260812T013231Z_nemotron-3.5-lightning_off_slot021_attempt01_ad44ef6a	7	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot021-off-attempt01.log
22	on-unbounded	1	2026-08-12T01:32:35+00:00	2026-08-12T01:34:17+00:00	unknown	runs/aiwf_medium_context/20260812T013235Z_nemotron-3.5-lightning_on-unbounded_slot022_attempt01_c92c7ed1	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot022-on-unbounded-attempt01.log
23	on-unbounded	1	2026-08-12T01:34:17+00:00	2026-08-12T01:35:34+00:00	unknown	runs/aiwf_medium_context/20260812T013417Z_nemotron-3.5-lightning_on-unbounded_slot023_attempt01_c70d37d1	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot023-on-unbounded-attempt01.log
24	off	1	2026-08-12T01:35:34+00:00	2026-08-12T01:35:51+00:00	unknown	runs/aiwf_medium_context/20260812T013534Z_nemotron-3.5-lightning_off_slot024_attempt01_3a8c56a6	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot024-off-attempt01.log
25	off	1	2026-08-12T01:35:51+00:00	2026-08-12T01:36:07+00:00	unknown	runs/aiwf_medium_context/20260812T013551Z_nemotron-3.5-lightning_off_slot025_attempt01_28530dbd	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot025-off-attempt01.log
26	on-unbounded	1	2026-08-12T01:36:07+00:00	2026-08-12T01:37:26+00:00	unknown	runs/aiwf_medium_context/20260812T013607Z_nemotron-3.5-lightning_on-unbounded_slot026_attempt01_0c523ea5	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot026-on-unbounded-attempt01.log
27	on-unbounded	1	2026-08-12T01:37:26+00:00	2026-08-12T01:38:39+00:00	unknown	runs/aiwf_medium_context/20260812T013726Z_nemotron-3.5-lightning_on-unbounded_slot027_attempt01_89db0892	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot027-on-unbounded-attempt01.log
28	off	1	2026-08-12T01:38:39+00:00	2026-08-12T01:38:57+00:00	unknown	runs/aiwf_medium_context/20260812T013839Z_nemotron-3.5-lightning_off_slot028_attempt01_1642d40f	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot028-off-attempt01.log
29	off	1	2026-08-12T01:38:57+00:00	2026-08-12T01:39:05+00:00	unknown	runs/aiwf_medium_context/20260812T013857Z_nemotron-3.5-lightning_off_slot029_attempt01_2b47b79b	9	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot029-off-attempt01.log
30	on-unbounded	1	2026-08-12T01:39:05+00:00	2026-08-12T01:40:33+00:00	unknown	runs/aiwf_medium_context/20260812T013905Z_nemotron-3.5-lightning_on-unbounded_slot030_attempt01_47474a41	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot030-on-unbounded-attempt01.log
31	on-unbounded	1	2026-08-12T01:40:33+00:00	2026-08-12T01:41:45+00:00	unknown	runs/aiwf_medium_context/20260812T014033Z_nemotron-3.5-lightning_on-unbounded_slot031_attempt01_d936c971	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot031-on-unbounded-attempt01.log
32	off	1	2026-08-12T01:41:45+00:00	2026-08-12T01:42:00+00:00	unknown	runs/aiwf_medium_context/20260812T014145Z_nemotron-3.5-lightning_off_slot032_attempt01_43128fed	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot032-off-attempt01.log
33	off	1	2026-08-12T01:42:00+00:00	2026-08-12T01:42:14+00:00	unknown	runs/aiwf_medium_context/20260812T014200Z_nemotron-3.5-lightning_off_slot033_attempt01_f102998b	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot033-off-attempt01.log
