slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
21	none	1	2026-08-06T22:46:39+00:00	2026-08-06T22:47:17+00:00	unknown	runs/aiwf_medium_context/20260806T224639Z_google_gemma-4-31B-it_none_slot021_attempt01_0dcc31eb	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot021-none-attempt01.log
22	none	1	2026-08-06T22:47:17+00:00	2026-08-06T22:47:53+00:00	unknown	runs/aiwf_medium_context/20260806T224717Z_google_gemma-4-31B-it_none_slot022_attempt01_b70ca82e	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot022-none-attempt01.log
23	none	1	2026-08-06T22:47:53+00:00	2026-08-06T22:48:30+00:00	unknown	runs/aiwf_medium_context/20260806T224753Z_google_gemma-4-31B-it_none_slot023_attempt01_1eedeb48	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot023-none-attempt01.log
24	none	1	2026-08-06T22:48:30+00:00	2026-08-06T22:49:07+00:00	unknown	runs/aiwf_medium_context/20260806T224830Z_google_gemma-4-31B-it_none_slot024_attempt01_c7275a30	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot024-none-attempt01.log
25	none	1	2026-08-06T22:49:07+00:00	2026-08-06T22:49:45+00:00	unknown	runs/aiwf_medium_context/20260806T224907Z_google_gemma-4-31B-it_none_slot025_attempt01_0c333470	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot025-none-attempt01.log
26	none	1	2026-08-06T22:49:45+00:00	2026-08-06T22:50:20+00:00	unknown	runs/aiwf_medium_context/20260806T224945Z_google_gemma-4-31B-it_none_slot026_attempt01_9e7449f8	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot026-none-attempt01.log
27	none	1	2026-08-06T22:50:20+00:00	2026-08-06T22:50:58+00:00	unknown	runs/aiwf_medium_context/20260806T225020Z_google_gemma-4-31B-it_none_slot027_attempt01_3b9d17de	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot027-none-attempt01.log
28	none	1	2026-08-06T22:50:58+00:00	2026-08-06T22:51:32+00:00	unknown	runs/aiwf_medium_context/20260806T225058Z_google_gemma-4-31B-it_none_slot028_attempt01_bf7fdb0a	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot028-none-attempt01.log
29	none	1	2026-08-06T22:51:32+00:00	2026-08-06T22:52:08+00:00	unknown	runs/aiwf_medium_context/20260806T225132Z_google_gemma-4-31B-it_none_slot029_attempt01_736ef423	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot029-none-attempt01.log
30	none	1	2026-08-06T22:52:08+00:00	2026-08-06T22:52:44+00:00	unknown	runs/aiwf_medium_context/20260806T225208Z_google_gemma-4-31B-it_none_slot030_attempt01_59631d27	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot030-none-attempt01.log
