slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
20	none	1	2026-08-07T10:20:03+00:00	2026-08-07T10:20:41+00:00	unknown	runs/aiwf_medium_context/20260807T102003Z_google_gemma-4-31B-it_none_slot020_attempt01_6ce7b6c7	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot020-none-attempt01.log
21	none	1	2026-08-07T10:20:41+00:00	2026-08-07T10:21:19+00:00	unknown	runs/aiwf_medium_context/20260807T102041Z_google_gemma-4-31B-it_none_slot021_attempt01_83fbd44d	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot021-none-attempt01.log
22	none	1	2026-08-07T10:21:19+00:00	2026-08-07T10:22:02+00:00	unknown	runs/aiwf_medium_context/20260807T102119Z_google_gemma-4-31B-it_none_slot022_attempt01_bf63f686	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot022-none-attempt01.log
23	none	1	2026-08-07T10:22:02+00:00	2026-08-07T10:23:08+00:00	unknown	runs/aiwf_medium_context/20260807T102202Z_google_gemma-4-31B-it_none_slot023_attempt01_6699a250	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot023-none-attempt01.log
24	none	1	2026-08-07T10:23:08+00:00	2026-08-07T10:24:03+00:00	unknown	runs/aiwf_medium_context/20260807T102308Z_google_gemma-4-31B-it_none_slot024_attempt01_6d639cd1	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot024-none-attempt01.log
25	none	1	2026-08-07T10:24:03+00:00	2026-08-07T10:24:43+00:00	unknown	runs/aiwf_medium_context/20260807T102403Z_google_gemma-4-31B-it_none_slot025_attempt01_3a198c18	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot025-none-attempt01.log
26	none	1	2026-08-07T10:24:43+00:00	2026-08-07T10:25:22+00:00	unknown	runs/aiwf_medium_context/20260807T102443Z_google_gemma-4-31B-it_none_slot026_attempt01_d5c84eb3	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot026-none-attempt01.log
27	none	1	2026-08-07T10:25:22+00:00	2026-08-07T10:26:02+00:00	unknown	runs/aiwf_medium_context/20260807T102522Z_google_gemma-4-31B-it_none_slot027_attempt01_08201cce	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot027-none-attempt01.log
28	none	1	2026-08-07T10:26:02+00:00	2026-08-07T10:26:46+00:00	unknown	runs/aiwf_medium_context/20260807T102602Z_google_gemma-4-31B-it_none_slot028_attempt01_11f9473e	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot028-none-attempt01.log
29	none	1	2026-08-07T10:26:46+00:00	2026-08-07T10:27:25+00:00	unknown	runs/aiwf_medium_context/20260807T102646Z_google_gemma-4-31B-it_none_slot029_attempt01_51f32a24	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot029-none-attempt01.log
